Date,Open,High,Low,Close,Adj Close,Volume
12-Feb-24,22.75,24.02,22.5,23.65,23.65,"846,889"
9-Feb-24,21.61,24.04,21.61,22.67,22.67,"1,935,113"
8-Feb-24,19.47,20.51,19.47,19.92,19.92,"671,791"
7-Feb-24,19.81,19.92,19.36,19.42,19.42,"510,812"
6-Feb-24,20.4,20.46,19.56,19.89,19.89,"489,973"
5-Feb-24,20.2,20.74,20.2,20.38,20.38,"270,615"
2-Feb-24,20.27,20.57,20.2,20.2,20.2,"394,603"
1-Feb-24,20.37,20.45,19.99,20.21,20.21,"349,098"
31-Jan-24,20.29,20.74,20.22,20.51,20.51,"491,224"
30-Jan-24,20.31,20.61,19.94,20.33,20.33,"349,261"
29-Jan-24,20.29,20.34,19.73,20.34,20.34,"369,661"
26-Jan-24,20.35,21.04,20.34,20.48,20.48,"432,751"
25-Jan-24,20.61,20.75,20.09,20.36,20.36,"463,064"
24-Jan-24,20.72,21.21,20.55,20.77,20.77,"469,480"
23-Jan-24,20.2,20.68,20.13,20.44,20.44,"755,081"
22-Jan-24,19.98,20.04,19.63,20,20,"447,790"
19-Jan-24,19.74,20.21,19.42,19.82,19.82,"698,262"
18-Jan-24,19.75,19.93,18.98,19.83,19.83,"727,770"
17-Jan-24,20.78,20.82,19.1,19.64,19.64,"1,335,091"
16-Jan-24,22.15,22.15,20.64,20.82,20.82,"765,862"
15-Jan-24,22.26,22.52,21.97,22.45,22.45,"481,811"
12-Jan-24,21.84,22.11,21.39,22.03,22.03,"459,521"
11-Jan-24,22.39,22.45,21.74,21.84,21.84,"378,054"
10-Jan-24,22.6,22.7,22.3,22.3,22.3,"281,768"
9-Jan-24,22.77,22.82,22.47,22.63,22.63,"205,174"
8-Jan-24,22.39,22.77,22.06,22.77,22.77,"360,523"
5-Jan-24,22.8,22.85,21.56,22.39,22.39,"780,132"
4-Jan-24,23.13,23.27,22.91,23.13,23.13,"228,771"
3-Jan-24,23.52,23.57,22.94,23.16,23.16,"272,328"
